"Yukon Territory","Yukon","t CO2e/GWh","t d'éq CO2/GWh",70,53.4,53.2,51.2,44.6,48.6,68.7,42.8,41.4,41.4,44.6,47.1,53.5,76.2,113.1,111.3,79.3,73.3,120,107.7,20.1,20.7,25.6,26.4,35.5,26.2,57.7,63.2,64.8,65.6,62.8,68.5,64.5,63.4,61.6,53.9,32.1,32,31.6,30.9,30.2,30.9,35.4,35.1,35.7,36.3


"Notes:"
"The electricity grid intensities are calculated from Canada’s greenhouse gas and air pollutant emissions projections (https://publications.gc.ca/site/fra/9.866115/publication.html)."
"The electricity grid intensities are computed by dividing electricity emissions by electricity sales from the utility grid within a province or territory. Electricity emissions are the sum of emissions from utility electricity production and emissions from industrial electricity sold to the utility grid (including emissions from electricity losses)."
"This methodology implies that imports and exports of electricity are assumed to have an emissions intensity of zero while the electricity imported still contributes to the sales of electricity from the utility grid. This also means that emissions from exported electricity are attributed to the exporting province or territory."
"""x"" indicates content suppressed in order to meet the confidentiality requirements of the Statistics Act."
"""0"" Indicates data truncated due to rounding."
"-: no data."
""
""
"Nota:"
"Les intensités du réseau électrique sont calculées à partir des Projections des émissions de gaz à effet de serre et de polluants atmosphériques au Canada (https://publications.gc.ca/site/fra/9.866116/publication.html)."
"Les intensités du réseau électrique sont calculées en divisant les émissions de la production d'électricité par les ventes d'électricité des services publics dans une province ou un territoire. Les émissions de la production d'électricité sont la somme des émissions de la production d'électricité des services publics et des émissions de la production d'électricité industrielle vendue aux services publics (y compris les émissions dues aux pertes d'électricité)."
"Cette méthodologie implique que les importations et les exportations d'électricité ont une intensité d'émissions nulle tandis que l'électricité importée est inclus dans les ventes d'électricité par les services publics. Cela signifie également que les émissions de l'électricité exportée sont attribuées à la province ou au territoire exportateur."
"""x"" indique que le contenu a été supprimé afin de respecter les exigences de confidentialité de la Loi sur la statistique."
"""0"" Indique que les données ont été tronquées, parce qu’elles ont été arrondies."
"-: aucune données."
